subject_nr,correct,id,stim_type,response_time,block_id,age,gender,PT
11,1,38,b,1240,80,20,m,80
11,0,20,a,1533,80,20,m,80
11,1,8,d,557,80,20,m,80
11,1,15,e,1879,80,20,m,80
11,1,2,d,955,80,20,m,80
11,0,22,a,1268,80,20,m,80
11,0,46,b,843,80,20,m,80
11,0,69,c,1073,80,20,m,80
11,0,25,a,2417,80,20,m,80
11,0,56,c,1107,80,20,m,80
11,1,54,b,1064,80,20,m,80
11,1,26,a,1648,80,20,m,80
11,0,67,c,636,80,20,m,80
11,1,30,a,1218,80,20,m,80
11,1,4,d,1807,80,20,m,80
11,0,51,b,1209,80,20,m,80
11,0,23,a,657,80,20,m,80
11,1,12,e,628,80,20,m,80
11,1,55,c,847,80,20,m,80
11,1,9,d,4992,80,20,m,80
11,1,17,e,656,80,20,m,80
11,1,42,b,731,80,20,m,80
11,1,53,b,878,80,20,m,80
11,0,29,a,2586,80,20,m,80
11,1,57,c,1359,80,20,m,80
11,1,10,e,812,80,20,m,80
11,1,59,c,2446,80,20,m,80
11,0,19,a,818,80,20,m,80
11,0,27,a,2056,80,20,m,80
11,1,13,e,891,80,20,m,80
11,1,61,c,3380,80,20,m,80
11,1,58,c,2175,80,20,m,80
11,1,37,b,636,80,20,m,80
11,0,39,b,736,80,20,m,80
11,0,72,c,2228,80,20,m,80
11,1,1,d,875,80,20,m,80
11,1,66,c,813,80,20,m,80
11,1,3,d,3503,80,20,m,80
11,1,11,e,725,80,20,m,80
11,1,45,b,2569,80,20,m,80
11,0,33,a,1579,80,20,m,80
11,1,47,b,611,80,20,m,80
11,1,41,b,664,80,20,m,80
11,1,64,c,1595,80,20,m,80
11,0,28,a,620,80,20,m,80
11,0,36,a,588,80,20,m,80
11,1,40,b,1815,80,20,m,80
11,1,71,c,959,80,20,m,80
11,1,35,a,3080,80,20,m,80
11,0,32,a,870,80,20,m,80
11,1,63,c,1350,80,20,m,80
11,1,5,d,629,80,20,m,80
11,1,7,d,807,80,20,m,80
11,1,52,b,543,80,20,m,80
11,1,17,e,681,150,20,m,150
11,1,63,c,1024,150,20,m,150
11,0,25,a,588,150,20,m,150
11,1,68,c,955,150,20,m,150
11,1,57,c,576,150,20,m,150
11,1,46,b,683,150,20,m,150
11,1,13,e,472,150,20,m,150
11,1,14,e,638,150,20,m,150
11,0,21,a,550,150,20,m,150
11,1,42,b,742,150,20,m,150
11,0,56,c,1152,150,20,m,150
11,1,58,c,527,150,20,m,150
