part,age,key,sex,style,stim,hemifield,response,rt
17,28,Right,female,Representational,280REALISTA,Right,0,346
17,28,Right,female,Abstract,270ABSTRACTO,Right,0,339
17,28,Right,female,Abstract,008ABSTRACTO,Left,0,433
17,28,Right,female,Representational,165REALISTA,Right,1,692
17,28,Right,female,Representational,332IMPRESION,Left,1,478
17,28,Right,female,Abstract,404ABSTRACTO,Left,0,398
17,28,Right,female,Representational,101IMPRESION,Left,0,291
17,28,Right,female,Abstract,262ABSTRACTO,Right,0,416
17,28,Right,female,Representational,278POSTIMPRES,Right,1,534
17,28,Right,female,Representational,254IMPRESION,Left,0,522
17,28,Right,female,Representational,076REALISTA,Left,0,349
17,28,Right,female,Representational,020POSTIMPRES,Right,0,428
17,28,Right,female,Abstract,317ABSTRACTO,Right,0,434
17,28,Right,female,Abstract,351ABSTRACTO,Right,0,367
17,28,Right,female,Representational,385POSTIMPRES,Right,1,669
17,28,Right,female,Representational,205REALISTA,Left,1,368
17,28,Right,female,Abstract,342ABSTRACTO,Right,0,281
17,28,Right,female,Representational,287REALISTA,Right,0,415
17,28,Right,female,Representational,177REALISTA,Left,1,935
17,28,Right,female,Representational,116REALISTA,Right,0,324
17,28,Right,female,Representational,106REALISTA,Right,0,353
17,28,Right,female,Representational,332IMPRESION,Right,1,858
17,28,Right,female,Representational,130IMPRESION,Right,1,477
17,28,Right,female,Abstract,282ABSTRACTO,Left,0,361
17,28,Right,female,Abstract,359ABSTRACTO,Left,0,491
17,28,Right,female,Representational,020POSTIMPRES,Left,0,741
17,28,Right,female,Representational,101IMPRESION,Right,1,434
17,28,Right,female,Abstract,136ABSTRACTO,Right,0,412
17,28,Right,female,Representational,161REALISTA,Left,0,407
17,28,Right,female,Abstract,293ABSTRACTO,Right,0,370
17,28,Right,female,Representational,093REALISTA,Left,0,558
17,28,Right,female,Representational,069POSTIMPRES,Right,1,298
17,28,Right,female,Representational,197POSTIMPRES,Right,0,447
17,28,Right,female,Abstract,132ABSTRACTO,Left,0,501
17,28,Right,female,Representational,075IMPRESION,Right,0,521
17,28,Right,female,Abstract,364ABSTRACTO,Left,1,593
17,28,Right,female,Abstract,365ABSTRACTO,Left,0,366
17,28,Right,female,Abstract,151ABSTRACTO,Right,0,311
17,28,Right,female,Representational,165REALISTA,Left,1,432
17,28,Right,female,Abstract,110ABSTRACTO,Right,0,411
17,28,Right,female,Representational,159REALISTA,Right,0,320
17,28,Right,female,Representational,373POSTIMPRES,Left,0,510
17,28,Right,female,Representational,062REALISTA,Right,0,550
17,28,Right,female,Representational,274REALISTA,Right,0,491
17,28,Right,female,Abstract,269ABSTRACTO,Left,1,382
17,28,Right,female,Abstract,363ABSTRACTO,Left,0,493
17,28,Right,female,Representational,130IMPRESION,Left,0,417
17,28,Right,female,Representational,179IMPRESION,Right,0,429
17,28,Right,female,Representational,216POSTIMPRES,Left,0,444
17,28,Right,female,Abstract,098ABSTRACTO,Right,0,322
17,28,Right,female,Representational,106REALISTA,Left,0,451
17,28,Right,female,Representational,111REALISTA,Left,1,402
17,28,Right,female,Abstract,146ABSTRACTO,Left,0,503
17,28,Right,female,Representational,030POSTIMPRES,Right,0,422
17,28,Right,female,Abstract,212ABSTRACTO,Left,0,494
17,28,Right,female,Abstract,089ABSTRACTO,Left,1,572
17,28,Right,female,Abstract,036ABSTRACTO,Left,0,285
17,28,Right,female,Abstract,282ABSTRACTO,Right,0,402
17,28,Right,female,Abstract,099ABSTRACTO,Right,0,306
17,28,Right,female,Representational,161REALISTA,Right,0,389
17,28,Right,female,Abstract,067ABSTRACTO,Left,0,516
17,28,Right,female,Representational,205REALISTA,Right,1,445
17,28,Right,female,Representational,216POSTIMPRES,Right,0,392
17,28,Right,female,Abstract,132ABSTRACTO,Right,0,389
17,28,Right,female,Representational,076REALISTA,Right,0,384
17,28,Right,female,Representational,046REALISTA,Left,0,434
17,28,Right,female,Abstract,404ABSTRACTO,Right,0,344
17,28,Right,female,Abstract,061ABSTRACTO,Left,0,382
17,28,Right,female,Abstract,008ABSTRACTO,Right,0,296
17,28,Right,female,Representational,017REALISTA,Right,0,323
17,28,Right,female,Representational,254IMPRESION,Right,0,501
17,28,Right,female,Abstract,365ABSTRACTO,Right,0,666
17,28,Right,female,Abstract,269ABSTRACTO,Right,0,307
17,28,Right,female,Abstract,367ABSTRACTO,Right,0,304
17,28,Right,female,Representational,116REALISTA,Left,0,438
17,28,Right,female,Abstract,348ABSTRACTO,Left,0,273
17,28,Right,female,Abstract,214ABSTRACTO,Left,0,360
17,28,Right,female,Representational,241POSTIMPRES,Right,0,436
17,28,Right,female,Representational,226REALISTA,Left,0,391
17,28,Right,female,Representational,105REALISTA,Left,0,395
17,28,Right,female,Representational,308POSTIMPRES,Left,0,369
17,28,Right,female,Abstract,217ABSTRACTO,Left,0,385
17,28,Right,female,Abstract,121ABSTRACTO,Right,0,375
17,28,Right,female,Abstract,061ABSTRACTO,Right,0,323
17,28,Right,female,Abstract,044ABSTRACTO,Left,0,577
17,28,Right,female,Representational,079POSTIMPRES,Left,0,449
17,28,Right,female,Representational,266POSTIMPRES,Left,0,615
17,28,Right,female,Abstract,051ABSTRACTO,Right,0,447
17,28,Right,female,Representational,071POSTIMPRES,Left,1,489
17,28,Right,female,Representational,010REALISTA,Right,0,417
17,28,Right,female,Abstract,121ABSTRACTO,Left,0,346
17,28,Right,female,Abstract,044ABSTRACTO,Right,0,312
17,28,Right,female,Representational,345POSTIMPRES,Left,0,437
17,28,Right,female,Representational,315IMPRESION,Right,0,424
17,28,Right,female,Abstract,036ABSTRACTO,Right,0,350
17,28,Right,female,Representational,402IMPRESION,Left,1,504
17,28,Right,female,Representational,311REALISTA,Right,0,504
17,28,Right,female,Abstract,368ABSTRACTO,Right,0,290
17,28,Right,female,Abstract,169ABSTRACTO,Left,0,532
17,28,Right,female,Representational,287REALISTA,Left,0,356
17,28,Right,female,Representational,043REALISTA,Right,0,323
